Date,Category,Description
2013,time-based media,SCRAPHAGIA; Collaboration with Louis Ward; Video AVCHD 24P; 4 hours
2013,shows,SOLO: Scraphagia; Andrew Roth Gallery; New York
2013,shows,SOLO: Scraphagia; ICA; London; UK
2013,shows,GROUP: DESCARTES’ DAUGHTER; Swiss Institute; New York
2012,publications,Gestell / Gestalt abierta en Caracas; Periférico; Caracas
2012,shows,SOLO: Gestell / Gestalt Abierta en Caracas; Periferico; Caracas
2012,time-based media,Gestell; 16 mm film
2011,publications,Formless Painting; Andrew Roth Gallery
2011,publications,The First 3 Years of Ludlow 38; Spector Books
2011,publications,Publika Je Pomembna! (Public Matters!); Center for Contemporary Arts Celje
2011,shows,SOLO: Form Less Painting; Andrew Roth Gallery; New York
2011,shows,SCREENING: Footnote 6: As a model; Miguel Abreu Gallery; New York
2010-2014,founding,Cage (LLC); Co-founded a space to facilitate other social interactions between activists, anarchists, writers, programmers, community organizers, inmates, social workers, artists, etc.
2010,publications,H10 Book; Galería de Artes Visuales H10; Valparaíso; Chile
2010,publications,Joan Jonas by Karin Schneider; Bomb magazine 112
2010,code,http://permutation384.com
2010,code,whitecircleonredandblue.com
2010,code,stalemate.co
2010,shows,SCREENING: 9 Screens; Museum of Modern Art; New York
2010,shows,SCREENING: The Castle; Warsaw; Poland
2010,time-based media,Pomerio; digital video; color; 50 minutes
2010,shows,GROUP: The Encounter; Jan Mott Gallery; Brussels; Belgium
2010,shows,GROUP: Interventions in Printed Matter; Andrew Roth Gallery; New York
2009,publications,An Irresponsible Writing; Numero Zero; issue 6; Graphic Triennial
2009,publications,Maniac Vicious Circles; Andrew Roth Gallery
2009,publications,The (non) Logic of the Cure; Wir Verbessern Ihre Arbeit; Instituto Divorciado
2009,publications,Visual Texts; Point of Contact; Syracuse University
2009,publications,Chance Encounters Press Release; Ludlow 38; NYC
2009,code,http://maniacviciouscircles.com
2009,code,MVC: Red Monochromes
2009,shows,SCREENING: Sledgehammer; COMA; Berlin
2009,shows,GROUP: Chance Encounters; Ludlow 38; New York
2009,time-based media,Press Release; digital video; color; sound; 7:13 min
2009,time-based media,XXX Macarena; video; color; 30 min
2009,writing,Orchard Dossier; Grey Room 35; MIT Press
2009,time-based media,UGP: Sledgehammer; 16 mm film installation; color
2009,time-based media,UGP: UGP; 16 mm film; color; sound
2008,publications,Igraliste Poemerio; Muzej Moderne; Rijeka; Croatia
2008,publications,October 123 Questionnaire; responses by Karin Schneider and Nicolás Guagnini
2008,publications,Maria Eichhorn and John Miller; Between Artists; A.R.T Press
2008,time-based media,Crisis in the Credit System; video; color; sound; 4:19 min
2008,shows,GROUP: You & ME; Sometimes; Lehman Maupin Gallery; New York
2008,shows,GROUP: Regroup Show; Miguel Abreu Gallery; New York
2005-2008,founding,Orchard Gallery (LLC); Founding member of exhibition and event space in New York's LES
2007,publications,A Few Notes on Collaboration; CAC Cincinnati
2007,shows,SCREENING: On the Collective for Living Cinema; Orchard; New York
2007,shows,SCREENING: e-flux Video Rental; Centre Culturel Suisse de Paris; France
2007,shows,SCREENING: From Confrontation to Intimacy; Americas Society; New York
2007,time-based media,Credits; collaboration with Sarina Basta; 16 mm film; B&W; 6 min
2007,time-based media,3 minutes of Painting on 6 minutes of film; collaboration with Amy Granat; 16mm film; color; silent; 6min
2007,time-based media,Image Coming Soon; video; color; sound; 27:34 min
2007,shows,SOLO: Image Coming Soon; Orchard; New York
2007,shows,SOLO: Elastic Paintings; Forde; Geneva; Switzerland
2007,shows,GROUP: Tropicalia; Museum of Modern Art; Rio de Janeiro; Brazil
2007,shows,GROUP: Drapeaux Gris; CAPC; Bordeaux; France
2006,publications,INVENTARIO; Museo de Arte y Diseño Contemporáneo; San Jose; Costa Rica
2006,shows,SCREENING: Reality/Play; Orchard Gallery; New York
2006,shows,SCREENING: e-flux Video Rental; Contemporary Art for Texas; Austin; TX
2006,time-based media,Two or three Things you Should…; video; color; 3 min
2006,shows,SOLO: Two or three things you should; Sculpture Center; New York
2006,shows,GROUP: Mulheres Radicais; CCBB; São Paulo; Brazil
2006,shows,GROUP: Contragolpe; ID; Berlin; Germany
2006,shows,GROUP: Bring The War Home; Q.E.D.; Los Angeles
2006,shows,GROUP: Grey Flags; Sculpture Center; New York
2005,publications,e-flux video rental catalog; e-flux and Revolver books
2005,shows,SCREENING: Tie; Denver Film Festival; Colorado
2005,shows,SCREENING: Parrilla; Centro Cultural Matucana; Chile
